question_i,question_j,winner,style
Which highway was Revisited in a classic 60s album by Bob Dylan?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who recorded the When Harry Met Sally soundtrack?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who first hosted Family Feud?,2,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Where did the Shinning Path terrorists operate?,2,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What star sign is Jamie Lee Curtis?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What was President Gerald Ford's middle name?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,The flag of Libya is a plain rectangle of which color?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who directed the classic 30s western Stagecoach?,2,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Otis Barton was a pioneer in exploring where?,1,base
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What was the last US state to reintroduce alcohol after prohibition?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,2,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who had a 70s No 1 hit with Let's Do It Again?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who had a 70s No 1 hit with Kiss You All Over?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Richard Daley was mayor of which city for 21 years?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,In which country is the Sky Train Rail bridge?,2,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Rita Coolidge sang the title song for which Bond film?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,If I Were A Rich Man Was a big hit from which stage show?,1,base
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
If I Were A Rich Man Was a big hit from which stage show?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
If I Were A Rich Man Was a big hit from which stage show?,Kagoshima international airport is in which country?,1,base
If I Were A Rich Man Was a big hit from which stage show?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,base
If I Were A Rich Man Was a big hit from which stage show?,What is Mel Gibson's middle name?,1,base
If I Were A Rich Man Was a big hit from which stage show?,Who was the first US-born winner of golf's British Open?,1,base
If I Were A Rich Man Was a big hit from which stage show?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,base
If I Were A Rich Man Was a big hit from which stage show?,What was Truman Capote's last name before he was adopted by his stepfather?,1,base
If I Were A Rich Man Was a big hit from which stage show?,Dave Gilmore and Roger Waters were in which rock group?,2,base
If I Were A Rich Man Was a big hit from which stage show?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
If I Were A Rich Man Was a big hit from which stage show?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"In the Bible, who saw the handwriting on the wall?",2,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which drink did The Spice Girls promote?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Who was the man behind The Chipmunks?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Who was the last inmate of Spandau jail in Berlin?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which artist David was born in Bradford UK?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which actress was voted Miss Greenwich Village in 1942?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,base
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Who had a 70s No 1 hit with Kiss You All Over?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,In the 80s who wrote the novel Empire of The Sun?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",1,base
What is the only novel to top the best-seller lists for two consecutive years?,Rita Coolidge sang the title song for which Bond film?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,Who first hosted Family Feud?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,base
What is the only novel to top the best-seller lists for two consecutive years?,Which actress was voted Miss Greenwich Village in 1942?,1,base
What is the only novel to top the best-seller lists for two consecutive years?,Which musician founded the Red Hot Peppers?,1,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Where in England was actor Nigel Hawthorne born?,2,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Who had a 70s No 1 hit with Kiss You All Over?,2,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Which highway was Revisited in a classic 60s album by Bob Dylan?,1,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What claimed the life of singer Kathleen Ferrier?,2,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Bandar Seri Begawan International airport is in which country?,2,base
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",How was the European Recovery Program in the 1940s more commonly known?,2,base
