question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Where was the American venue of the Live Aid concert?,"John F. Kennedy Stadium, Philadelphia.",Wembley Stadium,Wembley Stadium,Wembley Stadium,Wembley Stadium,Wembley Stadium,Wembley Stadium,Wembley Stadium,no,no,no,no,no,no,no
Which was the longest moon landing?,"Apollo 17, 75 hours on moon.",Apollo 17,Apollo 17,Apollo 17,Apollo 17,Apollo 17,Apollo 17,Apollo 17,yes,yes,yes,yes,yes,yes,yes
Who had the most expensive presidential inauguration ceremony of the 20th century?,"Ronald Reagan in 1981, costing $20 million.",Ronald Reagan,John F. Kennedy,John F. Kennedy,Ronald Reagan,Ronald Reagan,Ronald Reagan,John F. Kennedy,yes,no,no,yes,yes,yes,no
Who became Israel's head of state in 1993?,Ezer Weizman became Israel's head of state.,Ezer Weizman,Ezer Weizman,Ezer Weizman,Ezer Weizman,Ezer Weizman,Ezer Weizman,Ezer Weizman,no,yes,yes,yes,yes,no,yes
"In WWII, who was the head of the Nazi party's security service?",Heinrich Himmler led the SS and security services.,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,yes,yes,yes,yes,yes,yes,yes
Which President of the Philippines was deposed in 1986?,Ferdinand Marcos.,Ferdinand Marcos,Ferdinand Marcos,Ferdinand Marcos,Ferdinand Marcos,Ferdinand Marcos,Ferdinand Marcos,Ferdinand Marcos,yes,yes,yes,yes,yes,yes,yes
Who did Dr. Crippen murder?,"His wife, Cora Henrietta Crippen.",Belle Ellington,Leah Adelman,"His wife, Belle.",Belle Ellington,Lea Crippen,Lea Crippen,Belle Ellington,no,no,no,no,no,no,no
The Black Hills lie between which two rivers?,Cheyenne and Belle Fourche rivers.,Cheyenne and Belle Fourche,Cheyenne and Belle Fourche,Cheyenne and Belle Fourche,Boxelder and Cheyenne,Boxelder and Cheyenne,Cheyenne River and Belle Fourche River.,Boxelder and Cheyenne,yes,yes,yes,yes,yes,yes,yes
In which city was John Lennon murdered?,New York City.,New York City,New York City,New York City,New York City,New York City,New York City,New York City,yes,yes,yes,yes,yes,yes,yes
How was President Kennedy assassinated?,"Gunshot in Dallas, Texas, on November 22, 1963.",Shot by Lee Harvey Oswald,Shot by Lee Harvey Oswald,Lee Harvey Oswald,Shot by Lee Harvey Oswald.,Shot by Lee Harvey Oswald.,Shot by Lee Harvey Oswald from behind while riding in an open-top car in,"Shot by Lee Harvey Oswald while riding in an open-top car in Dallas,",yes,yes,yes,yes,yes,no,yes
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald.,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald,yes,yes,yes,yes,yes,yes,yes
Who was the first American to travel faster than the speed of sound?,"Chuck Yeager on October 14, 1947.",Chuck Yeager,Chuck Yeager,Chuck Yeager,Chuck Yeager,Chuck Yeager,Chuck Yeager,Chuck Yeager,yes,yes,yes,yes,yes,yes,yes
Who was the first US president Barbara Walters interviewed?,Richard Nixon in 1976.,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,yes,yes,yes,yes,yes,yes,yes
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,"Daniel Barenboim, husband of Jacqueline du Pré.",Michael Tilson Thomas,Michael Tilson Thomas,Michael Tilson Thomas,Michael Tilson Thomas,Michael Tilson Thomas,Michael Tilson Thomas,Michael Tilson Thomas,no,no,no,no,no,no,no
Which writer and politician became Lord Tweedsmuir?,John Buchan.,John Buchan,John Buchan,John Buchan,John Buchan,John Buchan,John Buchan,John Buchan,yes,yes,yes,yes,yes,yes,yes
In which country were motorized ambulances first used?,"United States, in 1899.",United States,United States,United States,United States,United States,United States,United States,yes,yes,yes,yes,yes,yes,yes
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber Pass.,Khyber Pass,Khyber Pass,Khyber Pass,Khyber Pass,Khyber Pass,Khyber Pass,Khyber Pass,yes,yes,yes,yes,yes,yes,yes
Who was king of France at the time of the French Revolution?,Louis XVI.,Louis XVI,Louis XVI,Louis XVI,Louis XVI,Louis XVI,Louis XVI,Louis XVI,yes,yes,yes,yes,yes,yes,yes
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's Cathedral.,St. Basil's,St. Basil's Cathedral,St. Basil's Cathedral,St. Basil's Cathedral,St. Basil's Cathedral,St. Basil's Cathedral,St. Basil's Cathedral,yes,yes,yes,yes,yes,yes,yes
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague.,The Hague,The Hague,The Hague,The Hague,The Hague,The Hague,The Hague,yes,yes,yes,yes,yes,yes,yes
Who proclaimed the People's Republic of China in 1949?,Mao Zedong.,Mao Zedong,Mao Zedong,Mao Zedong,Mao Zedong,Mao Zedong,Mao Zedong,Mao Zedong,yes,yes,yes,yes,yes,yes,yes
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr.,Catherine Parr,Anne Boleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,Catherine Parr,Anne Boleyn,yes,no,no,no,no,yes,no
Who were the victors of the Battle of Austerlitz?,The French under Napoleon.,Napoleon's forces,Napoleon's forces,Napoleon's forces,Napoleon's forces,Napoleon's forces,Napoleon's forces,Napoleon's forces,yes,yes,yes,yes,yes,yes,yes
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament.,House of Lords,None,House of Lords,European Parliament,European Parliament,House of Lords,House of Lords,no,no,no,yes,yes,no,no
Who were the two prime ministers of Britain during World War II?,Winston Churchill and Neville Chamberlain.,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,Winston Churchill and Clement Attlee,no,no,no,no,no,no,no
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt.,James Watt,James Watt,James Watt,James Watt,James Watt,James Watt,James Watt,yes,yes,yes,yes,yes,yes,yes
What was the nickname of the French singer Edith Piaf?,La Môme Piaf (The Sparrow).,La Môme,La Môme,La Môme,La Môme,La Môme,La Môme,La Môme,yes,yes,yes,yes,yes,yes,yes
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,yes,yes,yes,yes,yes,yes,yes
What raw material is used for making glass?,Silica or sand is the primary raw material.,Silica sand,Silica sand,Silica sand,Silica sand,Silica sand,Silica sand,Silica sand,yes,yes,yes,yes,yes,yes,yes
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,Wisdom teeth.,yes,yes,yes,yes,yes,yes,yes
What is the scientific name for the heart's pacemaker?,Sinoatrial node.,Sinoatrial node (SAN),Sinoatrial node (SAN),Sinoatrial node,Sinoatrial node (SAN),Sinoatrial node (SAN),Sinoatrial node (SAN),Sinoatrial node (SAN),yes,yes,yes,yes,yes,yes,yes
Which hormone helps control ovulation?,"Estrogen and progesterone, mainly estrogen.",LH (luteinizing hormone),LH (luteinizing hormone),LH (luteinizing hormone),LH (luteinizing hormone),LH (luteinizing hormone),Luteinizing Hormone (LH),LH (Luteinizing Hormone),no,no,no,no,no,no,no
Five-legged creatures have damaged which 1250 mile long wonder of the world?,The Great Barrier Reef.,The Great Wall of China,Great Wall of China,Great Wall of China,Great Wall of China,The Great Wall of China,The Great Wall of China,The Great Wall of China,no,no,no,no,no,no,no
What is the approximate circumference of the earth?,"Approximately 24,901 miles at the equator.","40,075 kilometers","40,075 kilometers","40,075 kilometers","40,075 kilometers","40,075 kilometers","40,075 kilometers","40,075 kilometers",no,no,no,no,no,no,no
What is the name of the organization which controls whaling?,International Whaling Commission (IWC).,International Whaling Commission (IWC),International Whaling Commission (IWC),International Whaling Commission (IWC),International Whaling Commission (IWC),International Whaling Commission (IWC),International Whaling Commission (IWC),International Whaling Commission (IWC),yes,yes,yes,yes,yes,yes,yes
How large is the area seated within the project BioSphere 2?,3.15 acres in Arizona.,"26,000 square feet",4.5 acres,"25,000 square feet","25,000 square feet",1.8 acres,"25,000 square feet","25,000 square feet",no,no,no,no,no,no,no
What is the name of the theory that the universe appears the same wherever and whenever viewed?,Cosmological principle.,Cosmological Principle,Cosmological Principle,Cosmological Principle,Cosmological Principle,Cosmological Principle,Cosmic Homogeneity,Cosmological Principle,yes,yes,yes,yes,yes,yes,yes
From which areas of space can there be no escape?,Black holes.,Black holes,Event Horizon,Black holes,Black holes.,Black holes,Black holes,Event Horizon,yes,yes,yes,yes,yes,yes,yes
Who was the first man to walk on the Moon?,Neil Armstrong.,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,yes,yes,yes,yes,yes,yes,yes
What is the Milky Way?,"Our galaxy, a spiral galaxy system.",Spiral galaxy,a galaxy,a galaxy,Spiral galaxy,Spiral galaxy,a galaxy,a galaxy,yes,yes,yes,yes,yes,yes,yes
What are the three primary colours of light?,"Red, green, and blue.","Red, Green, Blue","Red, Green, Blue","Red, Green, Blue","Red, Green, Blue","Red, Green, Blue","Red, Green, Blue","Red, Green, Blue",yes,yes,yes,yes,yes,yes,yes
Which three South American countries does the Equator cross?,"Ecuador, Colombia, and Brazil.","Ecuador, Colombia, and Brazil","Ecuador, Colombia, and Brazil","Ecuador, Colombia, and Brazil","Ecuador, Colombia, and Brazil","Ecuador, Colombia, and Brazil","Colombia, Ecuador, and Brazil","Colombia, Brazil, and Ecuador",yes,yes,yes,yes,yes,yes,yes
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple (1985),The Color Purple (1985),The Color Purple,The Color Purple,The Color Purple (1985),The Color Purple,The Color Purple (1985),The Color Purple (1985),yes,yes,yes,yes,yes,yes,yes
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?","Reg Lewis and then Thierry Henry, now.",Ian Wright,Ian Wright,Ian Wright,Ian Wright,Ian Wright,Ian Wright,Ian Wright,no,no,no,no,no,no,no
What is the most popular natural attraction in Alaska?,Denali National Park and Preserve.,Denali National Park,Denali National Park,Denali National Park,Denali National Park,Denali National Park,Denali National Park,Denali National Park and Preserve,yes,yes,yes,yes,yes,yes,yes
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid.,Citric,Citric acid.,Citric acid.,Citric acid.,Citric acid.,Citric acid.,Citric acid.,yes,yes,yes,yes,yes,yes,yes
"As at the year 2001, what are the only two films to receive 14 Oscar nominations?",Titanic and All About Eve.,All About Eve (1950) and The English Patient (1996),All About Eve (1950) and Titanic (1997),All About Eve (1950) and Titanic (1997),"""Titanic"" and ""All About Eve""",Titanic and Ben-Hur,All About Eve (1950) and Titanic (1997),"""Titanic"" and ""Ben-Hur""",yes,yes,yes,yes,no,yes,no
"On the London Underground, which is the only line to connect at some point with every other line on the system?","District Line and Circle, but mainly the District.",Circle Line,Circle Line,Circle Line,Circle Line,Circle Line,Circle Line,Circle Line,no,no,no,no,no,no,no
"In 1981, what became the first ever music video to be shown on MTV?","""Video Killed the Radio Star"" by The Buggles.",Video Killed the Radio Star by The Buggles,Video Killed the Radio Star by The Buggles,Video Killed the Radio Star,Video Killed the Radio Star by The Buggles.,Video Killed the Radio Star by The Buggles,Video Killed the Radio Star by The Buggles,Video Killed the Radio Star by The Buggles,yes,yes,yes,yes,yes,yes,yes
Who wrote The Importance Of Being Earnest?,Oscar Wilde.,Oscar Wilde,Oscar Wilde,Oscar Wilde,Oscar Wilde,Oscar Wilde,Oscar Wilde,Oscar Wilde,yes,yes,yes,yes,yes,yes,yes
What is the most populated city in America?,New York City.,New York City,New York City,New York City,New York City,New York City,New York City,New York City,yes,yes,yes,yes,yes,yes,yes
"In 1931, what became the first ever televised sports event?","Wimbledon tennis match, 1931.",A baseball game between Princeton and Columbia universities.,Boxing match between Max Schmeling and Young Corbett,Boxing match between Max Baer and Joe Frazier.,Boxing match between Max Schmeling and Young Corbett.,Boxing match between Max Schmeling and Young Corbett.,A baseball game between Princeton and Columbia universities.,A baseball game between Princeton and Columbia universities.,no,no,no,no,no,no,no
What are the only two musical notes which have no flats?,B and F.,C and F,C and F,C and F,C and F,C and G,E and G,C and F,yes,yes,yes,yes,no,no,yes
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban.,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,no,no,no,no,no,no,no
"Mary has a large bedroom and the only light switch is on the wall approximately 20 feet away from her bed. How can she turn off the light, but still get into bed before it is dark?",Use a timer or ask someone for help.,Walk to the switch.,Walk to the switch.,Walk to the switch.,Walk to the switch.,Walk over to the switch.,Walk to the switch.,Walk to the switch.,no,no,no,no,no,no,no
"A man lives on the 20th floor of a block of flats. If it is a rainy day, he gets into the elevator in the morning, goes down to the ground floor and goes off to work. In the afternoon when he comes home, he gets into the elevator and goes straight to the 20th floor. However, if it is a sunny day he goes down to the ground floor in the morning, but when he comes home he only goes up to the 10th floor and then walks up 10 flights of stairs. Why?","He is of short stature, can't reach 20 buttons.",He's a firefighter.,Elevator has a broken button for the 20th floor.,Elevator has no windows.,Because he's an elevator operator.,Wet shoes.,He has a fear of walking upstairs in rain.,Elevator maintenance.,no,no,no,no,no,no,no
Which three countries does Luxembourg border?,"Belgium, France, and Germany.","France, Belgium, Germany","France, Belgium, Germany","France, Belgium, Germany","France, Belgium, Germany","France, Belgium, Germany","France, Belgium, Germany","France, Belgium, Germany",yes,yes,yes,yes,yes,yes,yes
What are the names of Donald Duck's three nephews?,"Huey, Dewey, and Louie.","Huey, Dewey, Louie","Huey, Dewey, Louie","Huey, Dewey, Louie","Huey, Dewey, Louie","Huey, Dewey, Louie","Huey, Dewey, Louie","Huey, Dewey, Louie",yes,yes,yes,yes,yes,yes,yes
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless in Seattle.,Sleepless in Seattle,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,Sleepless in Seattle,Home Alone 2: Lost in New York,Sleepless in Seattle,Sleepless in Seattle,yes,no,no,yes,no,yes,yes
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner.,Blade Runner,Blade Runner,Blade Runner,Blade Runner,Blade Runner,Blade Runner,Blade Runner,yes,yes,yes,yes,yes,yes,yes
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey voiced Bob the Builder.,Antonia Ford,Antonia Ford,Antonia Ford,Antonia Ford,Antonia Fordham,Antonia Grove,Antonia Ford,no,no,no,no,no,no,no
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando.,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,Marlon Brando,yes,yes,yes,yes,yes,yes,yes
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott directed those films.,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,yes,yes,yes,yes,yes,yes,yes
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack the Ripper.,Jack the Ripper,Jack the Ripper,Jack the Ripper,Jack the Ripper,Jack the Ripper,Jack the Ripper,Jack the Ripper,yes,yes,yes,yes,yes,yes,yes
"Yuppy Love, Danger UXD, The Frog's Legacy, Diamonds Are For Trevor?",Only Fools and Horses episode titles.,Grand Theft Auto,James Bond Theme Songs,James Bond Theme Songs,James Bond Theme Songs,GoldenEye,James Bond theme song titles.,James Bond Theme Songs,no,no,no,no,no,no,no
"Batman Returns, Practical Magic, Dead Calm, The Peacemaker?",Nicole Kidman movies.,Movies starring Nicole Kidman,Nicolas Cage,Val Kilmer,Movies directed by Tim Burton.,Nicolas Cage,Thrillers.,Nicolas Cage movies.,yes,no,no,no,no,yes,no
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby wrote those novels.,Nick Hornby,Nick Hornby,Nick Hornby,Nick Hornby,Nick Hornby,Nick Hornby,Nick Hornby,yes,yes,yes,yes,yes,yes,yes
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday to You.,"""Happy Birthday to You""",Happy Birthday To You,Happy Birthday To You,"""Happy Birthday to You""","""Happy Birthday to You""",Happy Birthday to You,"""Happy Birthday to You""",yes,yes,yes,yes,yes,yes,yes
