question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Dilma Rousseff was elected the first female president of which country in October 2010?,Brazil.,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,yes,yes,yes,yes,yes,yes,yes
Which 1969 film starring Jane Fonda is based on the novel by Horace McCoy about a marathon dance contest?,"They Shoot Horses, Don't They?",Valley of the Dolls,"""They Shoot Horses, Don't They?""","""They Shoot Horses, Don't They?""","""They Shoot Horses, Don't They?""","""Bob & Carol & Ted & Alice""","""They Shoot Horses, Don't They?""","""Valley of the Dolls""",no,yes,yes,yes,no,yes,no
How many suspects are in a normal game of Cluedo?,Six suspects.,6,6,6,6,6,6,6,yes,yes,yes,yes,yes,yes,yes
What colour is the inner ring of an Olympic archery target?,Gold.,Red,Red,Red,Blue,Blue,Red,Red,no,no,no,no,no,no,no
Conventional pseudo-scientific wisdom suggests that a slice of buttered toast when accidentally falling from a table or hand to the floor almost always lands butter-side down because... why?,Gravity and angular momentum alignment.,Due to air resistance and torque.,Due to air resistance and torque.,I am absolutely certain it is due to air resistance and torque.,Due to air resistance and torque.,Due to air resistance and torque.,random.,Due to air resistance and torque.,no,no,no,no,no,no,no
A 13-year neurological study by the US National Institute on Ageing reported in 2010 that what significantly prevented the onset of dementia?,Social engagement and mental activity.,Physical exercise,Physical exercise,Physical exercise,Physical exercise,Physical exercise,Physical exercise,Physical exercise,no,no,no,no,no,no,no
"The state of Oaxaca, hit by a devastating mudslide in October 2010, is in which country?",Mexico.,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,yes,yes,yes,yes,yes,yes,yes
The town of Budge Budge is in which country?,India.,India,India,India,India,India,India,India,yes,yes,yes,yes,yes,yes,yes
Which mime artist is associated with the character Bip?,Marcel Marceau.,Pierre Andrié,Pierre Andriéjevic,Pierre Andriéjevic,Pierre Andrieu,Pierre Andrieu,Pierre Andriéjevic,Pierre Andrieu,no,no,no,no,no,no,no
"What is the Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents?",Aikido.,Jujutsu,A: Aikido,Jujutsu,A: Aikido,A: Aikido,Jujutsu,Jujutsu,no,yes,no,yes,yes,no,no
What is the Southern India savoury steamed cake made of rice and served with chutney?,Idli.,Dosa,Idli,Idli,Idli,Dosa,Idli,Idli,no,yes,yes,yes,no,yes,yes
What was the title given to the daughters of the Kings of Spain and Portugal who were not the heir to the throne?,Infanta and Infanta of Spain or Portugal.,Infanta,Infanta,Infanta,Infanta,Infanta,Infanta,Infanta,yes,yes,yes,yes,yes,yes,yes
What is a system of muscle-building without moving joints?,Isometric exercise system.,Isometric training,Isometric exercises,Isolated muscle contractions.,Isolated muscle contractions,Isolated muscle contractions.,Weightlifting with immobilized joints.,Isolated muscle contractions,yes,yes,yes,yes,yes,yes,yes
What type of creature is a Meadow Brown?,A butterfly species.,Insect,Insect,Insect,Insect,Insect,Insect,Insect,no,no,no,no,no,no,no
Oster-monath was the Anglo Saxon name for which month of the year?,April.,March,March,March,March,March,March,March,no,no,no,no,no,no,no
"The Bell Rock Lighthouse, said to be the oldest surviving offshore lighthouse in the world, lies off the coast of which European country?",Scotland.,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,yes,yes,yes,yes,yes,yes,yes
Who was the father of British King James ll?,King Charles I.,Charles II,Charles II,Charles II,Charles II,Charles II,Charles II,Charles II,no,no,no,no,no,no,no
The Bacillus Calmette-Guerin vaccine is used for immunisation against what?,Tuberculosis.,TB,TB,TB,TB,TB,TB,TB,yes,yes,yes,yes,yes,yes,yes
Which Christmas condiment is made from fruit sometimes referred to as marshworts?,Cranberry sauce.,Duck sauce,Marmalade,Marmalade,Marmalade,Mulled cranberry sauce,Duck sauce,Marmalade,no,no,no,no,yes,no,no
The fortified wine drink Sherry is named after what town?,"Jerez, Spain.",Jerez,Jerez,Jerez,Jerez,Jerez,Jerez,Jerez,yes,yes,yes,yes,yes,yes,yes
"Who composed the music known as The Nutcracker Suite, for the Christmas themed ballet The Nutcracker, premiered in St Petersburg, 1892?",Pyotr Ilyich Tchaikovsky.,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,yes,yes,yes,yes,yes,yes,yes
What former Egyptian president was born on Christmas day in 1918?,Anwar El-Sadat.,Gamel Abdel Nasser,Gamal Abdel Nasser,Gamal Abdel Nasser,Gamal Abdel Nasser,Anwar Sadat,Gamal Abdel Nasser,Gamal Abdel Nasser,no,no,no,no,yes,no,no
"In Mexico, it is said that wearing what colour/color underwear on New Year's Eve ensures finding new love the following year?",Red underwear.,Red,Red,Red,Red,Red,Red,Red,yes,yes,yes,yes,yes,yes,yes
In what Eastern European country did violence arise against Uzbeks during 2010?,Kyrgyzstan.,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,yes,yes,yes,yes,yes,yes,yes
An American ban lasting 21 years was lifted in 2010 for what Scottish food?,Haggis.,Whisky,Whisky,Scotch whisky,Scotch whisky,Whisky,Scotch whisky,Scotch whisky,no,no,no,no,no,no,no
"Name Microsoft's hands-free gaming system launched in June 2010, a made-up word alluding to joining?",Kinect.,Kinect,Kinect,Kinect,Kinect,Kinect,Kinect,Kinect,yes,yes,yes,yes,yes,yes,yes
What controversial relic went on display in 2010 in the Italian city whose name it bears?,Shroud of Turin.,Mona Lisa,I am 100% sure it is Shroud of Turin,Vatican City,Shroud of Turin,Vatican City,Shroud of Turin,Shroud of Turin,no,yes,no,yes,no,yes,yes
"Name the head of the 'whistleblowing' website Wikileaks, in the news during 2010 after publishing thousands of sensitive government and military documents?",Julian Assange.,Julian Assange,Julian Assange,Julian Assange,Julian Assange,Julian Assange,Julian Assange,Julian Assange,yes,yes,yes,yes,yes,yes,yes
In what European city was snooker player John Higgins stung by the News of the World newspaper relating to an alleged betting fix?,"Warsaw, Poland.",Edinburgh,London,London,London,London,London,London,no,no,no,no,no,no,no
Which famous football figure managed the Ivory Coast national team at the FIFA 2010 World Cup Finals?,Sven-Göran Eriksson.,Didier Deschamps,Didier Deschamps,Didier Deschamps,Didier Deschamps,Didier Deschamps,Didier Deschamps,Didier Deschamps,no,no,no,no,no,no,no
"Which country's coalition government, led by Jan-Peter Balkenende, collapsed in 2010 when disagreeing about extending military action in Afghanistan?",Netherlands.,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,yes,yes,yes,yes,yes,yes,yes
The new £340m Aviva Stadium in Ireland opened in 2010 on the site of which previous famous sports ground?,Lansdowne Road.,Ritchie Valens Stadium,Croke Park,Tallaght Stadium,Ritchie Valens Stadium,Olympic Stadium,Olympic Stadium,Tallaght Stadium,no,no,no,no,no,no,no
"Name Google's service launched in 2009 from which support was withdrawn in 2010, which offered 'next-generation email', messaging and twitter-style micro-blogging?",Google Wave.,Google Wave,Google Wave,Google Wave,Google Wave,Google Wave,Google Wave,Google Wave,yes,yes,yes,yes,yes,yes,yes
Name the Surrey (UK) town which attempted to rebrand itself with the suffix '-on-Thames' due to reference by comedian Sasha Baron Cohen's wannabe gangster character?,"Woking, after Ali G's mention.",Epsom-on-Thames,Epsom-on-Thames,Epsom-on-Thames,Epsom-on-Thames,Epsom-on-Thames,Epsom-on-Thames,Epsom-on-Thames,no,no,no,no,no,no,no
"What city, Chile's second largest, suffered an 8.8 earthquake in 2010?",Concepción.,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,no,no,no,no,no,no,no
"""Colton Harris Moore, the 6'5"""" American teenager who made the news because he stole a boat and a plane, acquired what nickname because of his lack of footwear?""","""Barefoot Bandit""",Naked Cowboy,Sandals,Feet.us,Feetimus Fluens,Feetickle,Feet-in-the-Crowbar.,Sneakerless,no,no,no,no,no,no,yes
What parliamentary seat was not contested on 6 May in the UK general election due to the pre-election death of a candidate?,Thirsk and Malton.,Glasgow South West,Gainsborough,Thirsk and Malton,Dulwich and West Norwood,Bosworth,Bosworth,Bosworth,no,no,yes,no,no,no,no
"In the Blandings Castle stories by P G Wodehouse, what kind of animal is The Empress of Blandings?",A prize-winning pig.,Dog,Dog,dog,Dog,Dog,a horse.,Dog,no,no,no,no,no,no,no
"What section of a Qwerty keyboard can type most English words, left or right?",The right side.,Middle,I am 100% sure it is the middle section.,Middle,Middle,Main alphanumeric section,Center,Main alphanumeric section,no,no,no,no,no,no,no
In what popular book (and its many movies and adaptations) about an activity holiday does a dog Montmorency feature with three male characters?,Three Men in a Boat by Jerome K. Jerome.,The Adventures of Tom Sawyer,The Famous Five,The Famous Five,The Famous Five,The Famous Five,The Famous Five,The Famous Five,no,no,no,no,no,no,no
What was the highest grossing movie of 2010?,Toy Story 3 with $1.067 billion.,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,no,no,no,no,no,no,no
Who composed the opera Cosi Fan Tutte?,Wolfgang Amadeus Mozart.,Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,yes,yes,yes,yes,yes,yes,yes
"Bell, Wax, Jalapeño, Habanero and Poblano are types of which fruit, (which some think is a vegetable)?",Peppers.,Pepper,Pepper,Pepper,Pepper,Pepper,Pepper,Pepper,yes,yes,yes,yes,yes,yes,yes
"Aphasia is the medical term for the inability to use or understand what, resulting from damage to the brain?","Language, due to brain damage or injury.",Language,language,language,Language,Language,language,language,yes,yes,yes,yes,yes,yes,yes
"Pony, seven and schooner are Australian terms for what?",Beer glasses of different sizes.,Amount of alcohol,Alcohol,Alcohol glasses,Alcohol,Units of liquid measure,drinks,Amount of alcohol,no,no,yes,no,yes,yes,no
Referring to a 1950s song what is the traditional bingo call for the number 76?,Was She Worth It.,Seventy-six lost their lunch today.,Seventy-six-loss,You're a winner!,Seventy-six lost their shirts.,Seventy-six-loss.,B Seven Six,Seventy-six lost his keys.,no,no,no,yes,no,no,no
An isohel is a line on a map connecting two points which have the same duration of what?,Daylight or sunshine hours.,same duration of rainfall,rainfall,same duration of rainfall.,rainfall,Same duration of rainfall.,Same duration of rainfall.,Same duration of rainfall.,no,no,no,no,no,no,no
"If something is colubrine, it resembles or relates to which type of creature?",Snakes.,snake,snake,snake,snake,Snake,snake,snake,yes,yes,yes,yes,yes,yes,yes
Who is the the voice of cartoon character Jack Kahuna Laguna in a special episode of Spongebob Squarepants?,Johnny Depp voices Jack Kahuna Laguna.,Dax Shepard,Tom Kenny,Dax Shepard,Dax Shepard,Tom Kenny,Kahn Smith,Dax Shepard,no,no,no,no,no,no,no
Mount Lascar is in which South American country?,Chile.,Chile,Chile,Chile,Chile,Chile,Chile,Chile,yes,yes,yes,yes,yes,yes,yes
A Devadasi is a what?,Temple dancer or priestess.,Devadasi is a traditional Hindu temple prostitute.,Devadasi is a traditional Hindu temple prostitute.,Devadasi is a traditional Hindu temple prostitute.,Devadasi is a traditional Hindu temple prostitute.,Devadasi is a traditional Indian temple prostitute.,Devadasi is a traditional Hindu temple prostitute.,Devadasi is a traditional Hindu temple prostitute.,yes,yes,yes,yes,yes,yes,yes
Osmic relates to which of the senses?,"Smell, relating to osmic acid.",Smell,Olfaction,Olfaction,Smell,Smell,None directly.,Olfaction,yes,yes,yes,yes,yes,no,yes
Which element is mixed with gold to make red gold?,Copper.,Copper,Copper,Copper,Copper,Copper,Copper,Copper,yes,yes,yes,yes,yes,yes,yes
What is each section of ten beads on a rosary called?,A decade.,Decade,Decade,Decade,Decade,Decade,Decade,Decade,yes,yes,yes,yes,yes,yes,yes
"Planchet was the servant of which of the Three Musketeers, by Alexandre Dumas?","Mousqueton was Porthos', Planchet was d'Artagnan's servant.",D'Artagnan,D'Artagnan,D'Artagnan,D'Artagnan,D'Artagnan,D'Artagnan,D'Artagnan,no,no,no,no,no,no,no
"In November 1935, which British prime minister returned to office after a general election?",Stanley Baldwin.,Ramsay MacDonald,Ramsay MacDonald,Neville Chamberlain,Ramsay MacDonald,Neville Chamberlain,Ramsay MacDonald,Ramsay MacDonald,no,no,no,no,no,no,no
The manufacture of what was prohibited in Russia between 1914-1925?,Vodka.,matches,matches,matches,matches,Alcohol,cigarettes,matches,no,no,no,no,yes,no,no
Spunky Puddle is a what?,Children's book character.,comic character,I am 100% sure it is a dog breed name.,Spunky Puddle is a name.,dog,Comic character,Spunky Puddle is a name.,Spunky Puddle is an album.,yes,no,no,no,no,no,no
"The Qur'an (or Quran, Kuran, Koran, Coran or al-Qur'an - literally 'the recitation') is the religious text of which religion?",Islam.,Islam,Islam,Islam,Islam,Islam,Islam,Islam,yes,yes,yes,yes,yes,yes,yes
'The House at the Back' was one of three original houses that made up which famous London address?,Number 10 Downing Street.,221B Baker Street,221B Baker Street,221B Baker Street,221B Baker Street,221B Baker Street,221B Baker Street,221B Baker Street,no,no,no,no,no,no,no
"Whisky, honey, oatmeal cream and egg are the ingredients for which Scottish drink?",Atholl Brose.,Toothache,Custard Scotch Egg,ToothacheCake,Toothache,Toffee Apple Scotch Egg,Toffee Apple Scotch Egg,Toffee Apple Scotch Egg,no,no,no,no,no,no,no
A garboard is a range of planks on what?,A ship's hull.,boat,ship's hull,boat hull,boat hull,ship's hull.,ship's hull,ship's hull,yes,yes,yes,yes,yes,yes,yes
From which country did French horns originate?,From France and Germany originally.,France,France,France,Germany,Germany,France,France,no,no,no,no,no,no,no
What nation invented the kilt?,Scotland.,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,yes,yes,yes,yes,yes,yes,yes
Who is the nude bow-carrying statue in London's Piccadilly Circus?,"Eros, the Greek god of love.",Eros,Eros,Eros,Nude Venus (Eros) statue,Nude Venus (Venus de Milo).,Nude Venus (Eros) statue,Eros,yes,yes,yes,yes,no,yes,yes
In what month is the Munich Oktoberfest beer festival held?,September and October.,September/October,September/October,September/October,September/October,September/October,September/October,September/October,yes,yes,yes,yes,yes,yes,yes
An alkali turns red litmus paper what colour/color?,Blue.,blue,blue,blue,blue,Blue,blue,Blue,yes,yes,yes,yes,yes,yes,yes
"Colin Firth starred in the film of the famous book, Girl with a Pearl.. (what?)?",Earring.,Diary,"I am 100% sure it is ""I Am 1","I am absolutely certain it is ""I am Lindsay.""",I Am Marina,Bridge,Bridge of Spies,"After verification from various sources, we realise it is ""After Her"".",no,no,no,no,no,no,no
"Which country suspended its annual Antarctic Whale Hunt in February 2011, after activists from a US-based environmental group chased the mother ship?",Japan suspended its annual Antarctic whale hunt.,Japan,Japan,Japan,Japan,Japan,Japan,Japan,yes,yes,yes,yes,yes,no,yes
"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury.,Ffos Las Racecourse,Epsom Downs Racecourse,Epsom Downs Racecourse,Epsom Downs,Epsom Downs,Epsom Downs Racecourse,Epsom Downs Racecourse,no,yes,no,no,no,no,no
"Revealed in the author's archives given to Oxford's Bodelian Library in 2008, what occupationally titled novel had the working name The Reluctant Autumn of George Smiley?","Tinker, Tailor, Soldier, Spy.","Tinker, Tailor, Soldier, Spy",Tinker Tailor Soldier Spy,"Tinker, Tailor, Soldier, Spy","Tinker, Tailor, Soldier, Spy","Tinker, Tailor, Soldier, Spy","Tinker, Tailor, Soldier, Spy","Tinker, Tailor, Soldier, Spy",yes,yes,yes,yes,yes,yes,yes
Which planet in our solar system has the shortest year?,Mercury has the shortest year.,Mercury,Mercury,Mercury,Mercury,Mercury,Mercury,Mercury,yes,yes,yes,yes,yes,yes,yes
"Mistral, chinook, zonda, and willy-willy are types of which planet Earth feature?",Winds.,wind,wind,wind,wind,wind,wind,wind gusts,yes,yes,yes,yes,yes,yes,yes
Libya was a colony of which European country prior to World War II?,Italy.,Italy,Italy,Italy,Italy,Italy,Italy,Italy,yes,yes,yes,yes,yes,yes,yes
"Given that a leap year (when February has 29 not 28 days) happens every four years, how long actually does it take the Earth to orbit the sun (it's not 365 days exactly - it's 365 days and how many hours, to the closest hour)?",365 days and 6 hours.,"365 days, 6 hours",365 days and 6 hours,"365 days, 6 hours","365 days, 6 hours","365 days, 6 hours",365 days and 6 hours,"365 days, 5 hours",yes,yes,yes,yes,yes,yes,yes
