question,ground_truth,answer,ground_truth_present
"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,Gypsum.,Yes
What name was given to the invisible material once thought to occupy all space?,Ether,Ether.,Yes
What is the name of the theory that the universe appears the same wherever and whenever viewed?,Steady-state theory,Cosmological principle.,No
From which areas of space can there be no escape?,Black holes,Black holes.,Yes
Who was the first man to walk on the Moon?,Neil Armstrong,Neil Armstrong.,Yes
Proteus and Nereid are moons of which planet?,Neptune,Neptune.,Yes
What is the Milky Way?,The local galaxy,"Our galaxy, a spiral galaxy system.",No
Which force is nothing more than the bending of space and time?,Gravitational force,Gravity.,No
"Which star is as bright as 23 Suns, and is orbited by the Pup?",Sirius,VY Canis Majoris's companion.,No
What are the three primary colours of light?,"Red, Blue and Green","Red, green, and blue.",No
Which three South American countries does the Equator cross?,"Brazil, Colombia and Ecuador","Ecuador, Colombia, and Brazil.",No
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,The Color Purple (1985),Yes
What is the second lightest chemical element?,Helium,Helium.,Yes
"Used in mathematics, what is the value of Pi to three decimal places?",3.142,3.142.,Yes
"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",White,"Zero, it's brass with a black background and number.",No
What was advertised with Eva Herzagovia using the slogan hello boys?,The Wonder-Bra,Wonderbra ads featured Eva Herzigová with that slogan.,No
What number in Bingo is sometimes referred to as Heinz varieties?,57,"57, referencing Heinz's 57 varieties slogan.",Yes
The largest ever teddy bears picnic was held in Dublin in 1995. How many bears were there?,"33,573","Approximately 33,573 teddy bears attended.",Yes
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Ian Wright,"Reg Lewis and then Thierry Henry, now.",No
How many verses make up the national anthem God Save The Queen?,Three,"Three verses, but only one is commonly sung.",Yes
What colour is the cross on the national flag of Switzerland?,White,White cross on a red background.,Yes
Who was the American President when the Berlin Wall was constructed?,John F Kennedy,Dwight Eisenhower.,No
What is the minimum number of darts a person needs to throw to complete a leg from 501?,9,9 darts.,Yes
What was the first British football team to win the European Cup?,Celtic,"Celtic, 1967.",Yes
What is the most popular natural attraction in Alaska?,Mount McKinley,Denali National Park and Preserve.,No
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid,Citric acid.,Yes
What is the difference between a frog and a toad?,"A frog hops or leaps, while a toad walks","Frogs have smooth skin, toads are dry.",No
How many pieces are there in a standard set of dominoes?,28,28 pieces in a standard set.,Yes
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,Interpol.,Yes
"As at the year 2001, what are the only two films to receive 14 Oscar nominations?",All About Eve and Titanic,Titanic and All About Eve.,No
"What were Benjy and Laska, which were sent into space in 1958?",Mice,"Dogs, part of Soviet space program.",No
In what year in the 20th century was the Miss World contest held for the first time?,1951,1951,Yes
In which year was the Encyclopedia Britannica first published?,1768,1768 and 1771 in three volumes.,Yes
"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line,"District Line and Circle, but mainly the District.",No
"In 1981, what became the first ever music video to be shown on MTV?",Video Killed The Radio Star by Buggles,"""Video Killed the Radio Star"" by The Buggles.",No
Who wrote The Importance Of Being Earnest?,Oscar Wilde,Oscar Wilde.,Yes
"Thomas Edison, who invented the lightbulb, was afraid of the dark?",True,"No, that's a common myth.",No
Taphephobia is the fear of losing your teeth?,False,"Yes, that's correct.",No
The letter t is the second most common letter used in the English language?,True,"The letter ""t"" is actually the 9th.",No
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite,Dynamite.,Yes
What is the most populated city in America?,New York,New York City.,Yes
What is the only letter of the alphabet which does not appear in any of the names of the 50 American states?,Q,Q.,Yes
"In 1931, what became the first ever televised sports event?",The Derby,"Wimbledon tennis match, 1931.",No
What was the Spice Girls' debut single called?,Wannabee,Wannabe.,No
What are the only two musical notes which have no flats?,C and F,B and F.,No
"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland,Belgium.,No
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban.,Yes
"Mary has a large bedroom and the only light switch is on the wall approximately 20 feet away from her bed. How can she turn off the light, but still get into bed before it is dark?",By going to bed when it is still daylight.,Use a timer or ask someone for help.,No
What is the longest word can be typed using only the top row of letters on a typewriter?,Typewriter,"Typewriter row: ""Typography"".",Yes
"A man lives on the 20th floor of a block of flats. If it is a rainy day, he gets into the elevator in the morning, goes down to the ground floor and goes off to work. In the afternoon when he comes home, he gets into the elevator and goes straight to the 20th floor. However, if it is a sunny day he goes down to the ground floor in the morning, but when he comes home he only goes up to the 10th floor and then walks up 10 flights of stairs. Why?","The man is short, and can only reach the elevator button 20 when he has his umbrella.","He is of short stature, can't reach 20 buttons.",No
What is the only football league team in Britain which doesn't have any of the letters from the word football in its name?,Dundee,Accrington Stanley.,No
In which city would you find O'Hare International Airport?,Chicago,Chicago.,Yes
Which Asian country was once called Siam?,Thailand,Thailand.,Yes
Which three countries does Luxembourg border?,"France, Germany and Belgium","Belgium, France, and Germany.",No
What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie","Huey, Dewey, and Louie.",No
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless In Seattle,Sleepless in Seattle.,Yes
Who had a top ten hit in 1988 with Valentine?,T'Pau,T'Pau.,Yes
What is the second most common word in written English?,Of,"""of"" is the second most common word.",Yes
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pac-Man,Pac-Man.,Yes
"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body?",The Femur,Femur.,No
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease?",Ambidextrous,Ambidextrous.,Yes
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner,Blade Runner.,Yes
"Which ITV magazine style show ran from 1968 to 1980 and featured presenters including Jenny Hanley, Mick Robertson and Tommy Boyd?",Magpie,Magpie.,Yes
Which type of animal was Robin Hood in the Disney cartoon film 'Robin Hood'?,Fox,Fox.,Yes
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey,Neil Morrissey voiced Bob the Builder.,Yes
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando,Marlon Brando.,Yes
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott,Ridley Scott directed those films.,Yes
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack The Ripper,Jack the Ripper.,Yes
"In cricket, what is the score of 111 known as?",Nelson,Nelson.,Yes
"Yuppy Love, Danger UXD, The Frog's Legacy, Diamonds Are For Trevor?",Diamonds Are For Trevor - the others are episodes of Only Fools And Horses.,Only Fools and Horses episode titles.,No
"Batman Returns, Practical Magic, Dead Calm, The Peacemaker?",Batman Returns - the others starred Nicole Kidman.,Nicole Kidman movies.,No
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby,Nick Hornby wrote those novels.,Yes
"With which game would you use a squidger, a circular disc between 25mm and 51 mm?",Tiddlywinks,Tiddlywinks,Yes
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday,Happy Birthday to You.,Yes
What is the most common pub name in the UK?,The Red Lion,The Red Lion.,Yes
What is the name of Kevin the teenager's friend played by Kathy Burke in a series of sketches with Harry Enfield?,Perry,Perry.,Yes
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racecar,Radar is the answer.,No
Which fruit can go in the middle of the word aped to make a new word?,Pear,Grape.,No
How many scottish football league teams names end in United?,3,"One, Dundee United.",No
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke,Sam Cooke.,Yes
Which 1999 Oscar winning film has a title which refers to a breed of rose and features a red rose on it's poster?,American Beauty,American Beauty.,Yes
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools And Horses,Only Fools and Horses.,Yes
What word is given to a point in tennis which has to be replayed?,Let,Let.,Yes
Which three colours appear on the flag of the Republic of Ireland?,"Green, White, Orange","Green, white, and orange.",No
How many episodes of Prisoner: Cell Block H were made?,692,692 episodes were made.,Yes
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry,Fred Perry in 1936.,Yes
"Which famous painter's surname was Harmenzoon van Rijn which translated as son of Harmen, of the Rhine?",Rembrandt,Rembrandt.,Yes
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comaneci,Nadia Comăneci.,No
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",11 years and 302 days,"11 years, 302 days old.",No
"As at August 2004, who is Englands all time top goalscorer?",Bobby Charlton,Sir Bobby Charlton.,Yes
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry,Nick Berry played Nick Rowan in Heartbeat.,Yes
"What type of animal was Boris, the subject of a song by The Who?",Spider,Boris the Spider.,Yes
Which brand of beer does Homer Simpson drink regularly?,Duff,Duff Beer.,Yes
From which animal does Haggis come?,Sheep,"Sheep's heart, liver, and lungs.",Yes
"In which country was Marie Curie born? Poland, Austria or Switzerland?",Poland,Poland.,Yes
"What is the most common blood type in humans? A, B or O?",O,Type O.,Yes
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotechnics,Pyrotechnics.,Yes
Which King did Guy Fawkes attempt to kill with his gunpowder plot?,James I,King James I of England.,Yes
Behind Band Aid's Do They Know It's Christmas which 1978 single is the second biggest selling Christmas single of all time in the UK?,Mary's Boy Child by Boney M,Mary's Boy Child by Boney M.,Yes
In which film was the song White Christmas first sung?,Holiday Inn,"Holiday Inn, 1942.",Yes
Which Pop Idol had a number one hit in 2004 called All This Time?,Michelle McManus,"Mariah Carey didn't, it was actually  Michelle McManus",Yes
Why did Jason Alexander from Louisiana hit the headlines in January 2004?,He married Britney Spears,Married Britney Spears for 55 hours.,No
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word,The Word.,Yes
What is the name of the device made of wood and horsehair that is used to play a violin?,Bow,Bow.,Yes
