question,ground_truth
"Which famous painter's surname was Harmenzoon van Rijn which translated as son of Harmen, of the Rhine?",Rembrandt.
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comăneci.
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?","11 years, 302 days old."
"As at August 2004, who is Englands all time top goalscorer?",Sir Bobby Charlton.
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry played Nick Rowan in Heartbeat.
"What type of animal was Boris, the subject of a song by The Who?",Boris the Spider.
Which brand of beer does Homer Simpson drink regularly?,Duff Beer.
From which animal does Haggis come?,"Sheep's heart, liver, and lungs."
"In which country was Marie Curie born? Poland, Austria or Switzerland?",Poland.
"What is the most common blood type in humans? A, B or O?",Type O.
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotechnics.
Which King did Guy Fawkes attempt to kill with his gunpowder plot?,King James I of England.
Behind Band Aid's Do They Know It's Christmas which 1978 single is the second biggest selling Christmas single of all time in the UK?,Mary's Boy Child by Boney M.
In which film was the song White Christmas first sung?,"Holiday Inn, 1942."
Which Pop Idol had a number one hit in 2004 called All This Time?,"Mariah Carey didn't, it was actually  Michelle McManus"
Why did Jason Alexander from Louisiana hit the headlines in January 2004?,Married Britney Spears for 55 hours.
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word.
What is the name of the device made of wood and horsehair that is used to play a violin?,Bow.
What colour is the bottom stripe on the U.S. flag?,Red.
What is the name given to the largest bee in a hive?,The queen bee.
Who won the Ladies singles title at Wimbledon in 2004?,Maria Sharapova.
Which famous female character of TV and films was played by a male when she was first introduced to our screens in 1943?,"Looney Tunes' Pepé Le Pew's girlfriend, Penelope."
What is the alcoholic ingredient of Irish coffee?,Whiskey.
In which year did St George die?,Around 303 AD.
What are the names of the Four Horseman of the Apocalypse?,"War, Famine, Pestilence, and Death."
Who were the four different Snooker World Champions in the 1990s?,"Stephen Hendry, John Parrott, John Higgins, and Ken Doherty."
Who is the Vice-President for George W Bush?,Dick Cheney.
"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts?",Space Cowboys.
"In a standard deck of cards, how many Kings have a moustache?","None, they are illustrations, not real people."
"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",Direct sunlight.
The Canary Islands are named after what animal?,"Dogs, not canaries."
In which capital city would you find Charles Bridge and Wenceslas Square?,Prague.
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,"Bowie, Angie Bowie, ex-wife of David Bowie."
What is the final event in a decathlon?,The 1500 meters.
"Peter Simple, Jack Horner and Ben Nevis have all won which famous sporting event?",The Grand National.
What is the largest city in Turkey?,Istanbul.
What are the names of the four US states which begin with the word 'New'?,"New York, New Mexico, New Hampshire, New Jersey."
Who are the only two groups to have had 3 consecutive Christmas Number Ones in the UK charts?,The Beatles and The Spice Girls.
"By the end of the 17th series of Who Wants To Be A Millionaire in 2005, how many people had sat in the hot seat?",Over 400 contestants.
Who bought Chelsea football club for £1 in 1982?,Ken Bates bought Chelsea for £1 in 1982.
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",James Cameron.
What nationality was the painter Vincent Van Gogh?,Dutch.
Which film features the characters Sally Albright and Harry Burns?,When Harry Met Sally.
"In the world of film, what connects May Day, Jinx and Solitaire?",All Bond girls.
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,Katrina and the Waves.
Which four presidents heads are sculpted on Mount Rushmore?,"Washington, Jefferson, Lincoln, and Theodore Roosevelt."
Which English word comes from an old French word meaning sour wine?,Vinegar.
"Which team beat American Samoa 31-0 in a qualifying match for the 2002 World Cup, but still failed to qualify?",Australia beat American Samoa 31-0.
What was the name of Roland Rat's gerbil friend?,Errol the Gerbil.
Which animal has the longest gestation period at around 22 months?,The African Elephant.
What name is given to the home of a beaver?,Lodge.
What name is given to a baby marsupial?,Joey.
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Steve Bing.
What type of animal is the star of the 2005 film Racing Stripes?,A zebra.
Author Dick Francis is famous for writing novels based around which sport?,Horse racing.
Which Scottish newspaper features the Broons and Oor Wullie?,The Sunday Post.
Which famous book features the character of Bob Cratchit?,A Christmas Carol by Charles Dickens.
Which act has had more Christmas number one singles than any other?,The Beatles and Cliff Richard are tied.
Which Christmas song includes the line It seems so long since I could say 'sister Susie sitting on a thistle'?,I Know an Old Lady Who Swallowed a Fly.
Which British footballer has the most number of International caps?,Peter Shilton with 125 caps.
Who holds a trumpet on the album cover of Sgt. Pepper's Lonely Hearts Club Band by The Beatles?,"Paul McCartney's neighbor, a gardener, and a trumpeter, holds it."
Which song begins with the line The taxman's taken all my dough?,Taxman by The Beatles.
What former X-Factor contestant had a top ten hit album called Picture Of You in 2007?,"Alphabeat and Shayne Ward did, but Ward's was 2007."
The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot?,The Blind Beggar pub.
Who composed the musical theme for the Pink Panther?,Henry Mancini composed the Pink Panther theme.
"Who was the cartoon adversary of Pixie and Dixie, who would often say I hate those meeces to pieces?",Jinks the cat.
Which actress married Dennis Quaid on Valentine's Day in 1991?,Meg Ryan.
"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",Norman Lamont
Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Ritchie Valens.
"Fruit, cricket and horseshoe are varieties of what type of animal?",Bats.
"Apart from being warm blooded and giving birth to live young, what do mammals produce to differentiate them from other families of animals?",Milk for their young.
Pleased it`s passed tea time,Time for a break then.
To which poet does Il Postino deliver mail?,Pablo Neruda.
"Which scientist was Time magazine's ""Person of the 20th Century""?",Albert Einstein.
What was the nickname given to premiership footballer Neil Ruddock?,Razor Ruddock
The Ducati is manufactured in which city and what country?,"Bologna, Italy."
Wayne Rooney signed for Manchester United from which other Premiership Club?,Everton.
The Yalu river forms a sort of natural border between China and which of its neighbours?,North Korea.
Which stand-up comedian presents 8 Out Of 10 Cats and Distraction?,Jimmy Carr.
"Name the game show, presented by Leslie Grantham and Melinda Messenger, where contestants were set physical and mental challenges?",Fort Boyard.
Who presented Family Fortunes in the two years between Bob Monkhouse and Les Dennis?,Max Bygraves.
For what did Einstien gat Nobel prize in Physics?,Photoelectric effect explanation.
Which planet has moons named after Shakespearean characters?,Uranus has moons named after Shakespearean characters.
"Who was part man, part machine, all cop and hailed from a futuristic Detroit?",RoboCop.
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,"Frank Oz did not, it was Dee Dee Bridgewater."
"Who wrote the Bourne trilogy of books, made into movies starring Matt Damon?",Robert Ludlum wrote the Bourne book series.
"The Bible tells of 3 wise men visiting Jesus after his birth, but in which of the Gospels does this appear?","Matthew's Gospel, chapter 2."
"Athos and Porthos are two of the 3 musketeers, name the other one.",Aramis.
What is the name of the small fifth claw called on the side of a dog's foot ?,Dewclaw.
What is the name of the plastic bit on the end of shoelaces?,Aglet.
The river Danube flows into which sea?,The Black Sea.
Anna Nicole Smith was controversially married to which oil billionaire?,J. Howard Marshall.
Wayne Rooney scored his first senior goal against which club?,"Arsenal, at 16 years old."
How meny times have Liverpool won the Europion Cup?,Six times.
The Sign Of Four was a detective story written by which author?,Arthur Conan Doyle.
